SalesID,SalePrice
1222839,38691.9654632
1222841,35519.8404872
1222845,36577.2154792
1222847,36048.5279832
1222863,36577.2154792
1222865,39220.6529592
1222867,38691.9654632
1222879,39220.6529592
1222883,38691.9654632
1222905,38163.2779672
1222908,37634.5904712
1222910,37634.5904712
1222969,38691.9654632
1222980,38691.9654632
1222981,38163.2779672
1222984,39220.6529592
1222999,34991.1529912
1223003,39220.6529592
1223014,38163.2779672
1223041,34991.1529912
1223042,34991.1529912
1223057,37105.9029752
1223058,34991.1529912
1223059,38163.2779672
1223060,37105.9029752
1223069,38163.2779672
1223070,37105.9029752
1223072,36048.5279832
1223073,37105.9029752
1223074,38163.2779672
1223075,36048.5279832
1223076,36577.2154792
1223077,36048.5279832
1223078,34462.4654952
1223079,34991.1529912
1223080,34462.4654952
1223081,34991.1529912
1223082,36048.5279832
1223083,38163.2779672
1223084,33933.7779992
1223091,38163.2779672
1223094,37105.9029752
1223101,37634.5904712
1223115,38691.9654632
1223116,33933.7779992
1223117,35519.8404872
1223118,38691.9654632
1223121,38163.2779672
1223124,38691.9654632
1223129,34991.1529912
1223130,34991.1529912
1223141,38163.2779672
1223147,40806.7154472
1223148,38163.2779672
1223149,40806.7154472
1223150,39749.3404552
1223151,40278.0279512
1223152,39749.3404552
1223154,40278.0279512
1223164,38163.2779672
1223165,38163.2779672
1223176,34462.4654952
1223184,36577.2154792
1223185,38163.2779672
1223186,38163.2779672
1223187,38163.2779672
1223192,34462.4654952
1223193,34462.4654952
1223195,38163.2779672
1223198,38163.2779672
1223211,38163.2779672
1223212,38163.2779672
1223217,38163.2779672
1223229,36577.2154792
1223244,37634.5904712
1223245,37634.5904712
1223246,38163.2779672
1223252,38163.2779672
1223269,36577.2154792
1223270,37105.9029752
1223271,36577.2154792
1223272,37105.9029752
1223273,37105.9029752
1223289,39220.6529592
1223293,39220.6529592
1223306,37105.9029752
1223308,35519.8404872
1223309,36048.5279832
1223310,36048.5279832
1223311,35519.8404872
1223313,36048.5279832
1223318,38163.2779672
1223319,39749.3404552
1223320,37634.5904712
1223322,38163.2779672
1223328,34991.1529912
1223329,38163.2779672
1223333,39220.6529592
1223335,38163.2779672
1223338,38163.2779672
1223339,38163.2779672
1223341,37634.5904712
1223344,35519.8404872
1223346,37634.5904712
1223356,38691.9654632
1223357,37105.9029752
1223358,36048.5279832
1223360,38163.2779672
1223361,38163.2779672
1223364,38163.2779672
1223371,35519.8404872
1223377,38163.2779672
1223382,39749.3404552
1223383,40806.7154472
1223384,40278.0279512
1223385,40278.0279512
1223400,38163.2779672
1223408,38163.2779672
1223411,34991.1529912
1223431,39220.6529592
1223436,38163.2779672
1223440,39220.6529592
1223458,39220.6529592
1223459,37634.5904712
1223460,38691.9654632
1223468,39220.6529592
1223479,33933.7779992
1223483,34991.1529912
1223484,34462.4654952
1223488,38691.9654632
1223489,36048.5279832
1223492,38163.2779672
1223493,38163.2779672
1223495,37634.5904712
1223512,34991.1529912
1223518,38691.9654632
1223519,38163.2779672
1223520,37634.5904712
1223523,34991.1529912
1223526,38163.2779672
1223535,36577.2154792
1223547,37634.5904712
1223549,38691.9654632
1223550,38163.2779672
1223551,38691.9654632
1223558,38163.2779672
1223580,37634.5904712
1223595,36048.5279832
1223626,38163.2779672
1223627,38691.9654632
1223634,36577.2154792
1223635,37634.5904712
1223647,38163.2779672
1223648,36577.2154792
1223650,40806.7154472
1223651,37634.5904712
1223653,37105.9029752
1223665,34991.1529912
1223667,39749.3404552
1223670,38163.2779672
1223679,38163.2779672
1223680,37634.5904712
1223691,38163.2779672
1223692,38163.2779672
1223696,34462.4654952
1223707,37105.9029752
1223718,39220.6529592
1223720,39220.6529592
1223724,38691.9654632
1223725,38163.2779672
1223727,38691.9654632
1223728,34462.4654952
1223733,33933.7779992
1223737,37634.5904712
1223764,37634.5904712
1223769,38691.9654632
1223773,35519.8404872
1223779,38163.2779672
1223788,38691.9654632
1223789,38163.2779672
1223790,37634.5904712
1223791,38691.9654632
1223794,36577.2154792
1223795,37105.9029752
1223796,36577.2154792
1223808,38163.2779672
1223809,35519.8404872
1223813,34991.1529912
1223814,38691.9654632
1223817,34462.4654952
1223818,34462.4654952
1223819,34462.4654952
1223820,34462.4654952
1223824,34462.4654952
1223834,36577.2154792
1223869,39220.6529592
1223875,36048.5279832
1223892,38691.9654632
1223893,38691.9654632
1223894,38691.9654632
1223895,37634.5904712
1223896,38691.9654632
1223897,36048.5279832
1223903,38163.2779672
1223909,38163.2779672
1223911,38163.2779672
1223913,38163.2779672
1223918,36577.2154792
1223919,39220.6529592
1223943,38691.9654632
1223948,38163.2779672
1223957,34991.1529912
1223958,37634.5904712
1223980,37634.5904712
1223990,37634.5904712
1223991,37634.5904712
1223995,38163.2779672
1223996,36577.2154792
1223997,38163.2779672
1224003,36048.5279832
1224004,38691.9654632
1224006,34991.1529912
1224024,38691.9654632
1224045,34462.4654952
1224046,35519.8404872
1224047,38691.9654632
1224072,38163.2779672
1224083,38691.9654632
1224084,38691.9654632
1224085,38691.9654632
1224092,34991.1529912
1224110,39220.6529592
1224122,38163.2779672
1224129,38163.2779672
1224131,38691.9654632
1224132,38691.9654632
1224140,34462.4654952
1224152,39220.6529592
1224156,38691.9654632
1224159,40278.0279512
1224162,38163.2779672
1224166,38163.2779672
1224167,38163.2779672
1224225,39749.3404552
1224233,33933.7779992
1224234,34462.4654952
1224235,34462.4654952
1224236,34462.4654952
1224237,34991.1529912
1224238,34462.4654952
1224250,31290.3405192
1224258,38163.2779672
1224262,38163.2779672
1224264,38163.2779672
1224267,38691.9654632
1224268,39749.3404552
1224269,39220.6529592
1224270,37634.5904712
1224283,39220.6529592
1224287,38691.9654632
1224288,39220.6529592
1224300,38163.2779672
1224330,33933.7779992
1224332,38691.9654632
1224348,34462.4654952
1224349,34991.1529912
1224355,36577.2154792
1224356,38691.9654632
1224357,38691.9654632
1224359,36577.2154792
1224360,38163.2779672
1224361,37634.5904712
1224362,35519.8404872
1224363,38163.2779672
1224367,35519.8404872
1224371,39749.3404552
1224385,38691.9654632
1224388,37634.5904712
1224389,39220.6529592
1224390,39220.6529592
1224391,38691.9654632
1224392,34462.4654952
1224397,39749.3404552
1224398,39749.3404552
1224400,39749.3404552
1224401,37105.9029752
1224408,40278.0279512
1224409,37634.5904712
1224410,39749.3404552
1224413,39749.3404552
1224420,39749.3404552
1224421,38163.2779672
1224422,37634.5904712
1224432,38691.9654632
1224455,36048.5279832
1224456,37634.5904712
1224457,38163.2779672
1224459,39220.6529592
1224460,39220.6529592
1224461,37634.5904712
1224462,37634.5904712
1224463,37634.5904712
1224464,35519.8404872
1224467,35519.8404872
1224478,34462.4654952
1224487,35519.8404872
1224490,39220.6529592
1224503,37105.9029752
1224505,39220.6529592
1224507,36048.5279832
1224511,34462.4654952
1224512,33933.7779992
1224515,37634.5904712
1224516,38691.9654632
1224523,35519.8404872
1224526,34991.1529912
1224527,38163.2779672
1224536,36048.5279832
